#,Country,Total Cases,New Cases,Total Deaths
,,,,
1,USA,"31,560,438",,"570,260"
,,,,
2,Brazil,"13,106,058",,"337,364"
,,,,
3,India,"12,801,785","2,039","166,208"
,,,,
4,France,"4,841,308",,"97,273"
,,,,
5,Russia,"4,597,868",,"101,106"
,,,,
6,UK,"4,364,529",,"126,882"
,,,,
7,Italy,"3,686,707",,"111,747"
,,,,
8,Turkey,"3,579,185",,"32,667"
,,,,
9,Spain,"3,317,948",,"75,911"
,,,,
10,Germany,"2,912,636",,"77,862"
,,,,
11,Colombia,"2,468,236",,"64,524"
,,,,
12,Poland,"2,456,709",,"55,065"
,,,,
13,Argentina,"2,428,029",,"56,634"
,,,,
14,Mexico,"2,256,380","4,675","205,002"
,,,,
15,Iran,"1,963,394",,"63,506"
,,,,
16,Ukraine,"1,769,164",,"35,017"
,,,,
17,Peru,"1,598,593",,"53,411"
,,,,
18,Czechia,"1,555,245",,"27,169"
,,,,
19,South Africa,"1,552,853",,"53,032"
,,,,
20,Indonesia,"1,542,516",,"41,977"
,,,,
21,Netherlands,"1,313,007",,"16,649"
,,,,
22,Chile,"1,037,780",,"23,734"
,,,,
23,Canada,"1,020,893",,"23,141"
,,,,
24,Romania,"983,217",,"24,386"
,,,,
25,Belgium,"904,673","1,709","23,247"
,,,,
26,Iraq,"887,291",,"14,535"
,,,,
27,Sweden,"834,993",,"13,533"
,,,,
28,Israel,"834,920",,"6,257"
,,,,
29,Portugal,"824,368",,"16,887"
,,,,
30,Philippines,"812,760",,"13,817"
,,,,
31,Pakistan,"700,188","4,004","15,026"
,,,,
32,Hungary,"691,743",,"22,098"
,,,,
33,Bangladesh,"651,652",,"9,384"
,,,,
34,Jordan,"645,449",,"7,383"
,,,,
35,Serbia,"625,773",,"5,537"
,,,,
36,Switzerland,"610,274",,"10,403"
,,,,
37,Austria,"562,907",,"9,517"
,,,,
38,Morocco,"499,025",,"8,865"
,,,,
39,Japan,"487,545",,"9,249"
,,,,
40,Lebanon,"482,798",,"6,479"
,,,,
41,UAE,"474,136",,"1,516"
,,,,
42,Saudi Arabia,"394,169",,"6,711"
